73.8;15;450.8
85.1;20.6;457.2
93.6;23;459.7
108.9;29.1;469.7
120.6;30.6;481.5
135.2;30.6;461.8
150;32;494
185.9;34.5;474
197.2;35.7;478.3
217;46;484.3
233;48;974.7
247;59.5;984.3
263;65.6;985.8
287;85;991
327;103;1002.4
365;128;1005.2
351;116;993.3
327;108;1001.6
303;99;997.6
263;71;986.6
235;48.8;976.2
208;40.2;478.7
199.5;41.8;477.75
176.1;29.9;465.42
147.3;31.4;477.28
118;29.7;479.2
86.9;20.1;462
